Model,series,PP,TP,ttft_s,tput,alpha,N_L,N_T,n_instances,lambda_tok_s
Llama2-13B,dda,,3,0.83,4402.4,0.26,9.0,23.0,3.0,3318.6
Llama2-13B,dda,,3,0.83,4402.4,0.27,9.0,23.0,3.0,3318.6
Llama2-13B,dda,,4,0.755,4402.4,0.28,12.0,20.0,3.0,3318.6
Llama2-13B,dda,,4,0.755,4402.4,0.29,12.0,20.0,3.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.3,8.0,24.0,4.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.31,8.0,24.0,4.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.32,8.0,24.0,4.0,3318.6
Llama2-13B,dda,,3,0.83,4402.4,0.33,12.0,20.0,4.0,3318.6
Llama2-13B,dda,,3,0.83,4402.4,0.34,12.0,20.0,4.0,3318.6
Llama2-13B,dda,,3,0.83,4402.4,0.35,12.0,20.0,4.0,3318.6
Llama2-13B,dda,,3,0.83,4402.4,0.36,12.0,20.0,4.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.37,10.0,22.0,5.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.38,10.0,22.0,5.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.39,10.0,22.0,5.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.4,10.0,22.0,5.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.41,12.0,20.0,6.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.42,12.0,20.0,6.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.43,12.0,20.0,6.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.44,12.0,20.0,6.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.45,12.0,20.0,6.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.46,12.0,20.0,6.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.47,12.0,20.0,6.0,3318.6
Llama2-13B,dda,,2,0.946,4402.4,0.48,12.0,20.0,6.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.49,14.0,18.0,7.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.5,14.0,18.0,7.0,3318.6
