Model,alpha,N_L,N_T,lambda_max,Tput_L,Tput_T,TTFT_short_s,bottleneck
Llama2-7B,0.66,22,10,865.5,571.3,3000.3,0.629,PoolL
Llama2-7B,0.67,22,10,852.6,571.3,3000.3,0.629,PoolL
Llama2-7B,0.68,22,10,840.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.69,22,10,827.9,571.3,3000.3,0.629,PoolL
Llama2-7B,0.7,22,10,816.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.71,22,10,804.6,571.3,3000.3,0.629,PoolL
Llama2-7B,0.72,22,10,793.4,571.3,3000.3,0.629,PoolL
Llama2-7B,0.73,22,10,782.5,571.3,3000.3,0.629,PoolL
Llama2-7B,0.74,22,10,772.0,571.3,3000.3,0.629,PoolL
Llama2-7B,0.75,22,10,761.7,571.3,3000.3,0.629,PoolL
Llama2-7B,0.76,22,10,751.6,571.3,3000.3,0.629,PoolL
Llama2-7B,0.77,22,10,741.9,571.3,3000.3,0.629,PoolL
Llama2-7B,0.78,22,10,732.4,571.3,3000.3,0.629,PoolL
Llama2-7B,0.79,22,10,723.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.8,22,10,714.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.81,22,10,705.2,571.3,3000.3,0.629,PoolL
Llama2-7B,0.82,22,10,696.6,571.3,3000.3,0.629,PoolL
Llama2-7B,0.83,22,10,688.3,571.3,3000.3,0.629,PoolL
Llama2-7B,0.84,22,10,680.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.85,22,10,672.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.86,22,10,664.2,571.3,3000.3,0.629,PoolL
Llama2-7B,0.87,22,10,656.6,571.3,3000.3,0.629,PoolL
Llama2-7B,0.88,22,10,649.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.89,22,10,641.9,571.3,3000.3,0.629,PoolL
Llama2-7B,0.9,22,10,634.7,571.3,3000.3,0.629,PoolL
Llama2-7B,0.91,22,10,627.7,571.3,3000.3,0.629,PoolL
Llama2-7B,0.92,22,10,620.9,571.3,3000.3,0.629,PoolL
