Model,N_L,N_T,n_instances,TP_per_instance,Tput_L,Tput_T,system_tput,TTFT_L_s,req_lat_T_packed_s,req_lat_T_cent_s,packing_gain_pct,cpb_ceil,cpb_floor,idle_T,kv_slack_L,kv_slack_T,C_max_4096_T,C_need_T,saturated,alpha_req,alpha_tok,lambda_tok_s,load_L,load_T,lambda_max,headroom_ratio,ttft_bar_s,meets_load,meets_kv,unsaturated,in_eps_band,selectable,is_best
Llama2-7B,14,18,7,2,3158.0,6239.1,9397.2,0.562,10.228,10.832,5.6,16,32,2,9.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,14,18,2,7,1108.9,6239.1,7348.1,0.446,10.228,10.832,5.6,16,32,2,49.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,14,18,1,14,599.8,6239.1,6838.9,0.403,10.228,10.832,5.6,16,32,2,105.725,3.812,122.0,32,True,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,False,True,False,False
Llama2-7B,15,17,15,1,5031.0,6239.1,11270.1,0.782,10.53,10.832,2.8,16,32,1,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,15,17,5,3,2474.7,6239.1,8713.8,0.507,10.53,10.832,2.8,16,32,1,17.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,15,17,3,5,1644.4,6239.1,7883.5,0.45,10.53,10.832,2.8,16,32,1,33.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,15,17,1,15,609.3,6239.1,6848.5,0.394,10.53,10.832,2.8,16,32,1,113.725,3.812,122.0,32,True,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,False,True,False,False
Llama2-7B,16,16,16,1,5366.4,6239.1,11605.5,0.782,10.832,10.832,0.0,16,16,0,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,16,16,8,2,3609.2,6239.1,9848.3,0.562,10.832,10.832,0.0,16,16,0,9.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,16,16,4,4,2158.3,6239.1,8397.5,0.458,10.832,10.832,0.0,16,16,0,25.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,16,16,2,8,1197.7,6239.1,7436.9,0.404,10.832,10.832,0.0,16,16,0,57.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,16,16,1,16,605.5,6239.1,6844.6,0.398,10.832,10.832,0.0,16,16,0,121.725,3.812,122.0,32,True,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,False,True,False,False
Llama2-7B,17,15,17,1,5701.8,3991.7,9693.5,0.782,12.099,16.931,28.6,10,16,4,1.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,False,True,False
Llama2-7B,17,15,1,17,604.2,3991.7,4595.9,0.399,12.099,16.931,28.6,10,16,4,129.725,2.312,74.0,32,True,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,False,True,False,False
Llama2-7B,18,14,18,1,6037.2,3991.7,10028.9,0.782,13.214,16.931,22.0,10,16,3,1.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,False,True,False
Llama2-7B,18,14,9,2,4060.3,3991.7,8052.0,0.562,13.214,16.931,22.0,10,16,3,9.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,False,True,False
Llama2-7B,18,14,6,3,2969.7,3991.7,6961.4,0.507,13.214,16.931,22.0,10,16,3,17.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,False,True,False
Llama2-7B,18,14,3,6,1665.2,3991.7,5656.9,0.445,13.214,16.931,22.0,10,16,3,41.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,True,True,False
Llama2-7B,18,14,2,9,1201.8,3991.7,5193.5,0.402,13.214,16.931,22.0,10,16,3,65.725,2.312,74.0,32,True,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,False,True,False,False
Llama2-7B,18,14,1,18,600.4,3991.7,4592.1,0.402,13.214,16.931,22.0,10,16,3,137.725,2.312,74.0,32,True,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,False,True,False,False
Llama2-7B,19,13,19,1,6372.6,3991.7,10364.3,0.782,14.329,16.931,15.4,10,16,2,1.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,False,True,False
Llama2-7B,19,13,1,19,596.7,3991.7,4588.4,0.406,14.329,16.931,15.4,10,16,2,145.725,2.312,74.0,32,True,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,False,True,False,False
Llama2-7B,20,12,20,1,6708.0,3991.7,10699.7,0.782,15.444,16.931,8.8,10,16,1,1.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,False,True,False
Llama2-7B,20,12,10,2,4511.5,3991.7,8503.2,0.562,15.444,16.931,8.8,10,16,1,9.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,False,True,False
