Model,N_L,N_T,n_instances,TP_per_instance,Tput_L,TTFT_L_s,TTFT_L_no_prefill_sampling_s,req_lat_L_s,Tput_T,Tput_T_cent,req_lat_T_packed_s,req_lat_T_cent_s,ttft_T_packed_s,system_tput,idle_T,cpb_ceil,cpb_floor,n_ceil,n_floor,hetero_T,packing_gain_pct,KV_free_per_block_MiB,KV_free_per_L_device_GiB,C_max_4096_T,C_max_mean_T,C_need_T,kv_slack_T,C_max_4096_L,C_need_L,kv_slack_L,kv_feasible,saturated,valid,invalid_reason,cap_floor,TP_sat,min_cpb,prompt_fraction
Llama2-7B,16,16,16,1,5366.4,0.782,0.734,6.297,6239.1,6239.1,10.832,10.832,1.297,11605.5,0,16,16,16,0,False,0.0,7806.0,3.45,122.0,236.5,32,3.812,27.6,16.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,16,16,8,2,3609.2,0.562,0.514,4.681,6239.1,6239.1,10.832,10.832,1.297,9848.3,0,16,16,16,0,False,0.0,7806.0,9.72,122.0,236.5,32,3.812,77.8,8.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,16,16,4,4,2158.3,0.458,0.41,3.914,6239.1,6239.1,10.832,10.832,1.297,8397.5,0,16,16,16,0,False,0.0,7806.0,12.86,122.0,236.5,32,3.812,102.9,4.0,25.725,True,False,True,,1,8,5,0.125
Llama2-7B,16,16,2,8,1197.7,0.404,0.356,3.527,6239.1,6239.1,10.832,10.832,1.297,7436.9,0,16,16,16,0,False,0.0,7806.0,14.43,122.0,236.5,32,3.812,115.4,2.0,57.725,True,False,True,,1,8,5,0.125
Llama2-7B,16,16,1,16,605.5,0.398,0.35,3.488,6239.1,6239.1,10.832,10.832,1.297,6844.6,0,16,16,16,0,False,0.0,7806.0,15.22,122.0,236.5,32,3.812,121.7,1.0,121.725,True,True,True,,1,8,5,0.125
Llama2-7B,17,15,17,1,5701.8,0.782,0.734,6.297,3991.7,3991.7,12.099,16.931,1.453,9693.5,4,10,16,2,13,True,28.6,4734.0,3.45,74.0,143.5,32,2.312,29.3,17.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,17,15,1,17,604.2,0.399,0.351,3.495,3991.7,3991.7,12.099,16.931,1.453,4595.9,4,10,16,2,13,True,28.6,4734.0,15.26,74.0,143.5,32,2.312,129.7,1.0,129.725,True,True,True,,1,8,5,0.125
Llama2-7B,18,14,18,1,6037.2,0.782,0.734,6.297,3991.7,3991.7,13.214,16.931,1.585,10028.9,3,10,16,4,10,True,22.0,4734.0,3.45,74.0,143.5,32,2.312,31.0,18.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,18,14,9,2,4060.3,0.562,0.514,4.681,3991.7,3991.7,13.214,16.931,1.585,8052.0,3,10,16,4,10,True,22.0,4734.0,9.72,74.0,143.5,32,2.312,87.5,9.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,18,14,6,3,2969.7,0.507,0.459,4.267,3991.7,3991.7,13.214,16.931,1.585,6961.4,3,10,16,4,10,True,22.0,4734.0,11.82,74.0,143.5,32,2.312,106.3,6.0,17.725,True,False,True,,1,8,5,0.125
Llama2-7B,18,14,3,6,1665.2,0.445,0.397,3.805,3991.7,3991.7,13.214,16.931,1.585,5656.9,3,10,16,4,10,True,22.0,4734.0,13.91,74.0,143.5,32,2.312,125.2,3.0,41.725,True,False,True,,1,8,5,0.125
Llama2-7B,18,14,2,9,1201.8,0.402,0.354,3.515,3991.7,3991.7,13.214,16.931,1.585,5193.5,3,10,16,4,10,True,22.0,4734.0,14.61,74.0,143.5,32,2.312,131.4,2.0,65.725,True,True,True,,1,8,5,0.125
Llama2-7B,18,14,1,18,600.4,0.402,0.354,3.517,3991.7,3991.7,13.214,16.931,1.585,4592.1,3,10,16,4,10,True,22.0,4734.0,15.3,74.0,143.5,32,2.312,137.7,1.0,137.725,True,True,True,,1,8,5,0.125
Llama2-7B,19,13,19,1,6372.6,0.782,0.734,6.297,3991.7,3991.7,14.329,16.931,1.718,10364.3,2,10,16,6,7,True,15.4,4734.0,3.45,74.0,143.5,32,2.312,32.8,19.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,19,13,1,19,596.7,0.406,0.358,3.54,3991.7,3991.7,14.329,16.931,1.718,4588.4,2,10,16,6,7,True,15.4,4734.0,15.34,74.0,143.5,32,2.312,145.7,1.0,145.725,True,True,True,,1,8,5,0.125
Llama2-7B,20,12,20,1,6708.0,0.782,0.734,6.297,3991.7,3991.7,15.444,16.931,1.851,10699.7,1,10,16,8,4,True,8.8,4734.0,3.45,74.0,143.5,32,2.312,34.5,20.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,20,12,10,2,4511.5,0.562,0.514,4.681,3991.7,3991.7,15.444,16.931,1.851,8503.2,1,10,16,8,4,True,8.8,4734.0,9.72,74.0,143.5,32,2.312,97.2,10.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,20,12,5,4,2697.9,0.458,0.41,3.914,3991.7,3991.7,15.444,16.931,1.851,6689.6,1,10,16,8,4,True,8.8,4734.0,12.86,74.0,143.5,32,2.312,128.6,5.0,25.725,True,False,True,,1,8,5,0.125
Llama2-7B,20,12,4,5,2192.5,0.45,0.402,3.853,3991.7,3991.7,15.444,16.931,1.851,6184.2,1,10,16,8,4,True,8.8,4734.0,13.49,74.0,143.5,32,2.312,134.9,4.0,33.725,True,False,True,,1,8,5,0.125
Llama2-7B,20,12,2,10,1191.9,0.406,0.358,3.544,3991.7,3991.7,15.444,16.931,1.851,5183.6,1,10,16,8,4,True,8.8,4734.0,14.74,74.0,143.5,32,2.312,147.4,2.0,73.725,True,True,True,,1,8,5,0.125
Llama2-7B,20,12,1,20,596.2,0.406,0.358,3.543,3991.7,3991.7,15.444,16.931,1.851,4587.9,1,10,16,8,4,True,8.8,4734.0,15.37,74.0,143.5,32,2.312,153.7,1.0,153.725,True,True,True,,1,8,5,0.125
Llama2-7B,21,11,21,1,7043.4,0.782,0.734,6.297,3991.7,3991.7,16.559,16.931,1.983,11035.1,0,10,16,10,1,True,2.2,4734.0,3.45,74.0,143.5,32,2.312,36.2,21.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,21,11,7,3,3464.6,0.507,0.459,4.267,3991.7,3991.7,16.559,16.931,1.983,7456.3,0,10,16,10,1,True,2.2,4734.0,11.82,74.0,143.5,32,2.312,124.1,7.0,17.725,True,False,True,,1,8,5,0.125
Llama2-7B,21,11,3,7,1663.4,0.446,0.398,3.809,3991.7,3991.7,16.559,16.931,1.983,5655.1,0,10,16,10,1,True,2.2,4734.0,14.21,74.0,143.5,32,2.312,149.2,3.0,49.725,True,False,True,,1,8,5,0.125
Llama2-7B,21,11,1,21,592.8,0.409,0.361,3.563,3991.7,3991.7,16.559,16.931,1.983,4584.5,0,10,16,10,1,True,2.2,4734.0,15.4,74.0,143.5,32,2.312,161.7,1.0,161.725,True,True,True,,1,8,5,0.125
Llama2-7B,22,10,22,1,7378.8,0.782,0.734,6.297,3234.5,3234.5,17.994,20.895,2.151,10613.3,2,8,10,2,8,True,14.1,3710.0,3.45,58.0,112.4,32,1.812,37.9,22.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,22,10,11,2,4962.6,0.562,0.514,4.681,3234.5,3234.5,17.994,20.895,2.151,8197.1,2,8,10,2,8,True,14.1,3710.0,9.72,58.0,112.4,32,1.812,107.0,11.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,22,10,2,11,1222.6,0.393,0.345,3.455,3234.5,3234.5,17.994,20.895,2.151,4457.1,2,8,10,2,8,True,14.1,3710.0,14.86,58.0,112.4,32,1.812,163.4,2.0,81.725,True,True,True,,1,8,5,0.125
Llama2-7B,22,10,1,22,618.7,0.386,0.338,3.413,3234.5,3234.5,17.994,20.895,2.151,3853.2,2,8,10,2,8,True,14.1,3710.0,15.43,58.0,112.4,32,1.812,169.7,1.0,169.725,True,True,True,,1,8,5,0.125
Llama2-7B,23,9,23,1,7714.2,0.782,0.734,6.297,3234.5,3234.5,19.444,20.895,2.315,10948.7,1,8,10,5,4,True,7.1,3710.0,3.45,58.0,112.4,32,1.812,39.7,23.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,23,9,1,23,619.8,0.386,0.338,3.407,3234.5,3234.5,19.444,20.895,2.315,3854.3,1,8,10,5,4,True,7.1,3710.0,15.45,58.0,112.4,32,1.812,177.7,1.0,177.725,True,True,True,,1,8,5,0.125
Llama2-7B,24,8,24,1,8049.6,0.782,0.734,6.297,3234.5,3234.5,20.895,20.895,2.478,11284.1,0,8,8,8,0,False,0.0,3710.0,3.45,58.0,112.4,32,1.812,41.4,24.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,24,8,12,2,5413.8,0.562,0.514,4.681,3234.5,3234.5,20.895,20.895,2.478,8648.3,0,8,8,8,0,False,0.0,3710.0,9.72,58.0,112.4,32,1.812,116.7,12.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,24,8,8,3,3959.5,0.507,0.459,4.267,3234.5,3234.5,20.895,20.895,2.478,7194.1,0,8,8,8,0,False,0.0,3710.0,11.82,58.0,112.4,32,1.812,141.8,8.0,17.725,True,False,True,,1,8,5,0.125
Llama2-7B,24,8,6,4,3237.5,0.458,0.41,3.914,3234.5,3234.5,20.895,20.895,2.478,6472.0,0,8,8,8,0,False,0.0,3710.0,12.86,58.0,112.4,32,1.812,154.3,6.0,25.725,True,False,True,,1,8,5,0.125
Llama2-7B,24,8,4,6,2220.3,0.445,0.397,3.805,3234.5,3234.5,20.895,20.895,2.478,5454.8,0,8,8,8,0,False,0.0,3710.0,13.91,58.0,112.4,32,1.812,166.9,4.0,41.725,True,False,True,,1,8,5,0.125
