Model,series,cfg,devices,TTFT_s,tput
Llama2-70B,native,PP2/TP16,32,3.0866982395,215.9248935150034
Llama2-70B,native,PP4/TP8,32,3.4786077162499995,396.53156885437943
Llama2-70B,native,PP8/TP4,32,4.38345870225,664.0548834830627
Llama2-70B,native,PP16/TP2,32,6.204703297375,1002.5263557150612
Llama2-70B,native,PP32/TP1,32,9.9406925930625,1339.8434021267963
Llama2-70B,native,PP80/TP1,32,28.740734970374994,1185.1364872703944
Llama2-70B,cent32static,PP1/TP32,32,2.9559926860000005,111.29844523361437
Llama2-70B,cent32static,PP2/TP16,32,3.0866982395,215.9248935150034
Llama2-70B,cent32static,PP4/TP8,32,3.4786077162499995,396.53156885437943
Llama2-70B,cent32static,PP8/TP4,32,4.38345870225,664.0548834830627
Llama2-70B,cent32static,PP16/TP2,32,6.204703297375,1002.5263557150612
Llama2-70B,cent32static,PP32/TP1,32,9.9406925930625,1339.8434021267963
Llama2-70B,cent32static,PP80/TP1,32,28.740734970374994,1185.1364872703944
Llama2-70B,dda_alpha,a=0.02,32,3.416,975.3
Llama2-70B,dda_alpha,a=0.03,32,3.416,985.4
Llama2-70B,dda_alpha,a=0.04,32,3.416,995.6
Llama2-70B,dda_alpha,a=0.05,32,3.416,1006.1
Llama2-70B,dda_alpha,a=0.06,32,3.416,1016.8
Llama2-70B,dda_alpha,a=0.07,32,3.416,1027.7
Llama2-70B,dda_alpha,a=0.08,32,3.416,1038.9
Llama2-70B,dda_alpha,a=0.09,32,3.416,1050.3
Llama2-70B,dda_alpha,a=0.10,32,3.363,1016.0
Llama2-70B,dda_alpha,a=0.11,32,3.363,923.6
Llama2-70B,dda_alpha,a=0.12,32,3.363,846.7
Llama2-70B,dda_alpha,a=0.13,32,3.087,822.0
Llama2-70B,dda_alpha,a=0.14,32,3.087,771.4
Llama2-70B,dda_alpha,a=0.15,32,3.087,720.0
Llama2-70B,dda_alpha,a=0.16,32,3.087,675.0
Llama2-70B,dda_alpha,a=0.17,32,3.087,635.3
Llama2-70B,dda_alpha,a=0.18,32,3.087,600.0
Llama2-70B,dda_alpha,a=0.19,32,3.087,568.4
Llama2-70B,dda_alpha,a=0.20,32,3.087,540.0
Llama2-70B,dda_alpha,a=0.21,32,3.087,514.3
Llama2-70B,dda_alpha,a=0.22,32,3.087,490.9
Llama2-70B,dda_alpha,a=0.23,32,3.087,469.6
Llama2-70B,dda_alpha,a=0.24,32,3.087,450.0
Llama2-70B,dda_alpha,a=0.25,32,3.087,432.0
Llama2-70B,dda_alpha,a=0.26,32,3.087,415.4
Llama2-70B,dda_alpha,a=0.27,32,3.087,400.0
Llama2-70B,dda_alpha,a=0.28,32,3.087,385.7
Llama2-70B,dda_alpha,a=0.29,32,3.087,372.4
Llama2-70B,dda_alpha,a=0.30,32,3.087,360.0
Llama2-70B,dda_alpha,a=0.31,32,3.087,348.4
Llama2-70B,dda_alpha,a=0.32,32,3.087,337.5
Llama2-70B,dda_alpha,a=0.33,32,3.087,327.3
Llama2-70B,dda_alpha,a=0.34,32,3.087,317.6
Llama2-70B,dda_alpha,a=0.35,32,3.087,308.6
Llama2-70B,dda_alpha,a=0.36,32,3.087,300.0
Llama2-70B,dda_alpha,a=0.37,32,3.087,291.9
Llama2-70B,dda_alpha,a=0.38,32,3.087,284.2
Llama2-70B,dda_alpha,a=0.39,32,3.087,276.9
Llama2-70B,dda_alpha,a=0.40,32,3.087,270.0
Llama2-70B,dda_alpha,a=0.41,32,3.087,263.4
Llama2-70B,dda_alpha,a=0.42,32,3.087,257.1
Llama2-70B,dda_alpha,a=0.43,32,3.087,251.2
Llama2-70B,dda_alpha,a=0.44,32,3.087,245.5
Llama2-70B,dda_alpha,a=0.45,32,3.087,240.0
Llama2-70B,dda_alpha,a=0.46,32,3.087,234.8
Llama2-70B,dda_alpha,a=0.47,32,3.087,229.8
Llama2-70B,dda_alpha,a=0.48,32,3.087,225.0
Llama2-70B,dda_alpha,a=0.49,32,3.087,220.4
Llama2-70B,dda_alpha,a=0.50,32,3.087,216.0
Llama2-70B,dda_alpha,a=0.51,32,3.087,211.8
Llama2-70B,dda_alpha,a=0.52,32,3.087,207.7
Llama2-70B,dda_alpha,a=0.53,32,3.087,203.8
Llama2-70B,dda_alpha,a=0.54,32,3.087,200.0
Llama2-70B,dda_alpha,a=0.55,32,3.087,196.4
Llama2-70B,dda_alpha,a=0.56,32,3.087,192.9
Llama2-70B,dda_alpha,a=0.57,32,3.087,189.5
Llama2-70B,dda_alpha,a=0.58,32,3.087,186.2
Llama2-70B,dda_alpha,a=0.59,32,3.087,183.1
Llama2-70B,dda_alpha,a=0.60,32,3.087,180.0
Llama2-70B,dda_alpha,a=0.61,32,3.087,177.0
Llama2-70B,dda_alpha,a=0.62,32,3.087,174.2
Llama2-70B,dda_alpha,a=0.63,32,3.087,171.4
Llama2-70B,dda_alpha,a=0.64,32,3.087,168.8
Llama2-70B,dda_alpha,a=0.65,32,3.087,166.2
Llama2-70B,dda_alpha,a=0.66,32,3.087,163.6
Llama2-70B,dda_alpha,a=0.67,32,3.087,161.2
Llama2-70B,dda_alpha,a=0.68,32,3.087,158.8
Llama2-70B,dda_alpha,a=0.69,32,3.087,156.5
Llama2-70B,dda_alpha,a=0.70,32,3.087,154.3
Llama2-70B,dda_alpha,a=0.71,32,3.087,152.1
Llama2-70B,dda_alpha,a=0.72,32,3.087,150.0
Llama2-70B,dda_alpha,a=0.73,32,3.087,147.9
Llama2-70B,dda_alpha,a=0.74,32,3.087,145.9
Llama2-70B,dda_alpha,a=0.75,32,3.087,144.0
Llama2-70B,dda_alpha,a=0.76,32,3.087,142.1
Llama2-70B,dda_alpha,a=0.77,32,3.087,140.3
Llama2-70B,dda_alpha,a=0.78,32,3.087,138.5
Llama2-70B,dda_alpha,a=0.79,32,3.087,136.7
Llama2-70B,dda_alpha,a=0.80,32,3.087,135.0
Llama2-70B,dda_alpha,a=0.81,32,3.087,133.3
Llama2-70B,dda_alpha,a=0.82,32,3.087,131.7
Llama2-70B,dda_alpha,a=0.83,32,3.087,130.1
Llama2-70B,dda_alpha,a=0.84,32,3.087,128.6
Llama2-70B,dda_alpha,a=0.85,32,3.087,127.1
Llama2-70B,dda_alpha,a=0.86,32,3.087,125.6
Llama2-70B,dda_alpha,a=0.87,32,3.087,124.1
Llama2-70B,dda_alpha,a=0.88,32,3.087,122.7
Llama2-70B,dda_alpha,a=0.89,32,3.087,121.3
Llama2-70B,dda_alpha,a=0.90,32,3.087,120.0
Llama2-70B,dda_alpha,a=0.91,32,3.087,118.7
Llama2-70B,dda_alpha,a=0.92,32,3.087,117.4
Llama2-70B,dda_alpha,a=0.93,32,3.087,116.1
Llama2-70B,dda_alpha,a=0.94,32,3.087,114.9
Llama2-70B,dda_alpha,a=0.95,32,3.087,113.7
Llama2-70B,dda_alpha,a=0.96,32,3.087,112.5
Llama2-70B,dda_alpha,a=0.97,32,3.087,111.3
Llama2-70B,dda_alpha,a=0.98,32,3.087,110.2
Llama2-70B,dda_poolL,Pool L,32,3.0866982395,107.96244675750171
Llama2-70B,dda_poolL,Pool L,32,3.3008599328750003,102.93810351553688
Llama2-70B,dda_poolL,Pool L,32,3.3625506002499996,101.58245200946996
Llama2-70B,dda_poolL,Pool L,32,3.4156963457500003,100.44484341800592
Llama2-70B,dda_poolL,Pool L,32,3.4786077162499995,99.13289221359486
Llama2-70B,dda_poolL,Pool L,32,3.905444495625,90.82482482275131
Llama2-70B,dda_poolL,Pool L,32,4.38345870225,83.00686043538283
Llama2-70B,dda_poolL,Pool L,32,6.204703297375,62.65789723219133
Llama2-70B,dda_poolT,Pool T,32,28.740734970374994,1185.1364872703944
Llama2-70B,dda_poolT,Pool T,32,28.740734970374994,1185.1364872703944
Llama2-70B,dda_poolT,Pool T,32,35.414558714375005,955.8096012333235
Llama2-70B,dda_poolT,Pool T,32,35.414558714375005,955.8096012333235
Llama2-70B,dda_poolT,Pool T,32,35.414558714375005,955.8096012333235
Llama2-70B,dda_poolT,Pool T,32,35.414558714375005,955.8096012333235
Llama2-70B,dda_poolT,Pool T,32,47.39414143437501,715.1127409494429
Llama2-70B,dda_poolT,Pool T,32,47.39414143437501,715.1127409494429
