Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,1152,10,2,prefill,3.471483399058036,3332.9544880519734,136.85385449452008,591.5330223771366
Llama2-13B,20,1152,20,1,prefill,5.107390724705359,4524.129112557425,130.1771908301879,690.667033071514
Llama2-13B,20,1152,40,1,prefill,9.101862926526788,5080.436430529346,125.18820780967091,699.7515424657624
Llama2-13B,20,1280,1,20,prefill,2.4261950369196428,533.9489106926196,326.7547813213454,290.0384451996138
Llama2-13B,20,1280,2,10,prefill,2.4753385440625,1046.1993814473412,186.78655312888367,317.8201382479001
Llama2-13B,20,1280,4,5,prefill,2.8364159713392856,1820.99951132258,158.04731728723664,427.8491503864065
Llama2-13B,20,1280,5,4,prefill,3.0957564341071424,2082.6181763227646,161.19736623445186,479.016313636054
Llama2-13B,20,1280,10,2,prefill,3.916658354508928,3287.1864448941938,137.36602638576744,585.4558913458775
Llama2-13B,20,1280,20,1,prefill,5.739475916339288,4476.724898528468,130.77927857762617,686.9325446176127
Llama2-13B,20,1280,40,1,prefill,10.23138789169643,5025.68068795509,125.67072458139371,695.8533576957318
Llama2-13B,20,1408,1,20,prefill,2.7214251006116075,524.8226625846478,327.0938270628937,284.62368623865666
Llama2-13B,20,1408,2,10,prefill,2.7754829584687504,1028.628778790662,187.12053102675307,312.3020961916391
Llama2-13B,20,1408,4,5,prefill,3.172668128473214,1793.8783568032266,158.3787612632665,421.9868342961814
Llama2-13B,20,1408,5,4,prefill,3.457942637517857,2053.929876477356,161.5283034261138,473.2475540700467
Llama2-13B,20,1408,10,2,prefill,4.370191709959821,3244.9225997864773,137.82768495555305,579.8718330930132
Llama2-13B,20,1408,20,1,prefill,6.3799195079732165,4433.13440525984,131.2738418595966,683.2758261424261
Llama2-13B,20,1408,40,1,prefill,11.389034456866073,4970.870272107947,126.18361040956626,691.939321311271
Llama2-13B,20,1536,1,20,prefill,3.025179964303572,516.2034764987603,327.4169728027266,279.5594870937521
Llama2-13B,20,1536,2,10,prefill,3.0841521728750005,1012.023614266538,187.43860892290687,307.1296362837412
