Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,1024,2,10,end2end,1.90031691525,1085.099674738235,186.0469655545436,330.24899740346973
Llama2-13B,20,1024,2,10,prefill,0.2077156144062499,1232.4542896390806,184.3769456296478,376.51768594344975
Llama2-13B,20,1024,4,5,decoding,1.9453554999375,1849.3347000541944,157.5488379097212,434.2639165886671
Llama2-13B,20,1024,4,5,end2end,2.189178857071429,1880.6529696032044,157.31279755657556,440.8876441376779
Llama2-13B,20,1024,4,5,prefill,0.2438233571339285,2099.880856446275,155.66051508455638,487.2537369807534
Llama2-13B,20,1024,5,4,decoding,2.126893823875,2113.044024557027,160.69939364130428,485.4361495049614
Llama2-13B,20,1024,5,4,end2end,2.396651227285714,2145.4762811689093,160.4638600725266,491.7685893253184
Llama2-13B,20,1024,5,4,prefill,0.2697574034107143,2372.502077452086,158.81512509108265,536.0956680678179
Llama2-13B,20,1024,10,2,decoding,2.68532548815625,3343.283520132096,136.50679625749223,593.2061430895748
Llama2-13B,20,1024,10,2,end2end,3.034858843607142,3383.1262458859933,136.27227625745036,598.222298402568
Llama2-13B,20,1024,10,2,prefill,0.3495333554508928,3662.025326163275,134.63063625715705,633.3353855935205
Llama2-13B,20,1024,20,1,decoding,3.958983541437501,4533.4515815477525,129.83054726575168,691.1398259697164
Llama2-13B,20,1024,20,1,end2end,4.48385593307143,4576.442132421096,129.48309107678762,694.7318353389751
Llama2-13B,20,1024,20,1,prefill,0.5248723916339286,4877.375988534501,127.05089775403898,719.8759009237856
Llama2-13B,20,1024,40,1,decoding,7.0661345961875,5082.201261569876,125.02511266825628,699.8149337298264
Llama2-13B,20,1024,40,1,end2end,7.989088041357143,5140.352195243142,124.63426688919496,703.9554142952284
Llama2-13B,20,1024,40,1,prefill,0.922953445169643,5547.408730956004,121.8983464357655,732.9387782530417
Llama2-13B,20,2048,1,20,decoding,3.9120112916875,466.6560103914416,329.1912860959765,250.7027294293512
Llama2-13B,20,2048,1,20,end2end,4.326164219071428,485.623101507853,328.6102793159268,261.9017835828497
Llama2-13B,20,2048,1,20,prefill,0.4141529273839285,618.3927393227333,324.5432318555788,340.29516265733923
Llama2-13B,20,2048,2,10,decoding,3.9808122016875,916.5840754885702,189.18251515408275,277.6169779145968
Llama2-13B,20,2048,2,10,end2end,4.4047938305,953.022419648884,188.61164406139105,289.00844871924784
Llama2-13B,20,2048,2,10,prefill,0.4239816288124999,1208.0908287710809,184.6155464125491,368.7487443518049
Llama2-13B,20,2048,4,5,decoding,4.486320599875001,1620.3094410031383,160.4230079377197,384.8324397309754
Llama2-13B,20,2048,4,5,end2end,4.9825177141428565,1675.809382124432,159.857204688707,396.6928513972644
Llama2-13B,20,2048,4,5,prefill,0.4961971142678571,2064.308969973488,155.8965819456181,479.7157330612866
