PP,TP,seqlen,TTFT,Panel,Model
4,8,3200,31.2557660665625,b,Llama2-70B
8,4,3200,37.2159500090625,b,Llama2-70B
16,2,3200,49.208459288593744,b,Llama2-70B
32,1,3200,73.87947526664063,b,Llama2-70B
80,1,3200,209.22610428484376,b,Llama2-70B
1,32,3328,29.610557899000003,b,Llama2-70B
2,16,3328,30.46014399675001,b,Llama2-70B
4,8,3328,33.007555595625,b,Llama2-70B
8,4,3328,39.227826204625,b,Llama2-70B
16,2,3328,51.743394472937496,b,Llama2-70B
32,1,3328,77.45002953490625,b,Llama2-70B
80,1,3328,219.0895728274376,b,Llama2-70B
1,32,3456,31.26265943050001,b,Llama2-70B
2,16,3456,32.144921916625,b,Llama2-70B
4,8,3456,34.79031088468751,b,Llama2-70B
8,4,3456,41.27066816018751,b,Llama2-70B
16,2,3456,54.30929541728124,b,Llama2-70B
32,1,3456,81.05154956317187,b,Llama2-70B
80,1,3456,229.0672890500313,b,Llama2-70B
1,32,3584,32.945726722,b,Llama2-70B
2,16,3584,33.860665596500006,b,Llama2-70B
4,8,3584,36.60403193375,b,Llama2-70B
8,4,3584,43.34447587575,b,Llama2-70B
16,2,3584,56.906162121625,b,Llama2-70B
32,1,3584,84.6840353514375,b,Llama2-70B
80,1,3584,239.15932463262507,b,Llama2-70B
1,32,3712,34.6596061735,b,Llama2-70B
2,16,3712,35.607221436375,b,Llama2-70B
4,8,3712,38.448565142812505,b,Llama2-70B
8,4,3712,45.449095751312505,b,Llama2-70B
16,2,3712,59.53384098596874,b,Llama2-70B
32,1,3712,88.38120721970313,b,Llama2-70B
80,1,3712,249.3656795752188,b,Llama2-70B
1,32,3840,36.403949625,b,Llama2-70B
2,16,3840,37.38424127625,b,Llama2-70B
4,8,3840,40.323562351875005,b,Llama2-70B
8,4,3840,47.584179626875006,b,Llama2-70B
16,2,3840,62.19198385031248,b,Llama2-70B
32,1,3840,92.10884308796876,b,Llama2-70B
80,1,3840,259.6526745178126,b,Llama2-70B
1,32,3968,38.1792588365,b,Llama2-70B
2,16,3968,39.192226876125,b,Llama2-70B
4,8,3968,42.22952532093751,b,Llama2-70B
8,4,3968,49.75022926243751,b,Llama2-70B
16,2,3968,64.88109247465623,b,Llama2-70B
32,1,3968,95.86744471623436,b,Llama2-70B
80,1,3968,270.05386594040635,b,Llama2-70B
1,32,4096,39.98553380800001,b,Llama2-70B
2,16,4096,41.03117823600001,b,Llama2-70B
4,8,4096,44.16645405,b,Llama2-70B
8,4,4096,51.947244658,b,Llama2-70B
16,2,4096,67.60116685899999,b,Llama2-70B
32,1,4096,99.6570121045,b,Llama2-70B
80,1,4096,280.56930504300004,b,Llama2-70B
